#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:10
qEqNwGtv;f	Basic (and reversed card)-b9071	1.每日日文文法	...ながら　「一邊...一邊...」	音楽を聴きながら、ご飯を作ります(邊聽音樂,邊做飯)[sound:rec1548952543.mp3]<br>文法：<br>Vます去ます(通常使用持續動詞[食べる、走る])<br>ながら<br>表示同時進行					N4文法
DAsQ=F*@w`	Basic (and reversed card)-b9071	日文文法	動詞てから「先做...再做...」	夜歯を磨いてから、寝ます(晚上刷完牙後再睡覺)[sound:rec1548952838.mp3]					
&MMZGGtBF	Basic (and reversed card)-b9071	日文文法	動詞たあとで　「...以後...」<div>「動詞た型+あとで」「名詞+の＋あとで」</div><div>客觀敘述事情發生經過,兩項動作相隔一定時間發生</div>	お客さんが帰ったあとで、茶碗を洗いました(客人離開後洗了碗)[sound:rec1548953288.mp3]					
cUTWYd/]R@	Basic (and reversed card)-b9071	日文文法	動詞まえに　「...之前,先...」<div>（普通型）</div>	デスとをするまえに、勉強します(考試前先讀書)<div>[sound:rec1548953618.mp3]</div>					
"GC;Q&D/ok#"	Basic (and reversed card)-b9071	1.每日日文文法	でしょう「也許...」「可能...」	この仕事は１時間ぐらいかかるでしょう(這份工作大概要花上一小時吧)[sound:rec1548954052.mp3]<div>文法：<br>V常<br>い/い<br>な/0<br>N/0<br>「動詞普通型+でしょう」「形容詞+でしょう」「名詞+でしょう」伴隨降調,表示推測<br></div>					N4文法
GIITeeb4%y	Basic (and reversed card)-b9071	1.每日日文文法	動詞たり、動詞たりします　「有時...,有時...」「又是...,又是...」	夕べは友達と飲んだり、食べたりしました(昨天和朋友又是喝酒,又是吃飯)[sound:rec1548954451.mp3]<br>文法：<br>V1たりV2たりしました<br>「等等之類的～」舉例<br>有時「V1たり」不會出現					N5文法
nTN(e]*Yrg	Basic (and reversed card)-b9071	日文文法	形容詞く+なります　「變...」	午後は暑くなりました(下午變熱了)[sound:rec1548954669.mp3]<div><br></div>					
mS>PaaMK^P	Basic (and reversed card)-b9071	日文文法	形容動詞に+なります	体が丈夫になりました(身體變強壯了)[sound:rec1548954857.mp3]					
u>`&|:INKw	Basic (and reversed card)-b9071	日文文法	名詞に+なります	もう夏になりました(已經夏天了)[sound:rec1548954993.mp3]<div>毎日遅くまで仕事をして、病気になりました(每天工作到很晚,結果生病了)[sound:rec1548955170.mp3]</div>					
j4st*$7qNG	Basic (and reversed card)-b9071	日文文法	形容詞く+します<div>跟「なります」比較、「なります」不是人為的是自己改變</div><div>「します」則是人為改變</div>	部屋を暖かくしました(房間弄暖和)[sound:rec1548955395.mp3]					
CFR5~iKLAm	Basic (and reversed card)-b9071	日文文法	形容動詞に+しました<div><div>跟「なります」比較、「なります」不是人為的是自己改變</div><div>「します」則是人為改變</div></div>	音楽を流して、賑やかにしました(放音樂讓氣氛變熱鬧)[sound:rec1548955595.mp3]<div><br /></div>					
j&GRS[;;q?	Basic (and reversed card)-b9071	日文文法	名詞に+します	子供を医者にします(我要讓孩子當醫生)[sound:rec1549033450.mp3][sound:126.mp3]					
i3)>^7Ix`]	Basic (and reversed card)-b9071	日文文法	もう+肯定	病気はもう治りました(病已經治好了)[sound:rec1549033946.mp3][sound:127.mp3]					
Bf]Zc|*TZK	Basic (and reversed card)-b9071	日文文法	もう+否定	もう飲みたくありません(我已經不想喝了)[sound:rec1549034115.mp3][sound:128.mp3]					
n<B)bKU|NI	Basic (and reversed card)-b9071	日文文法	まだ+肯定 「還有...」還有...	まだ時間があります(還有時間)[sound:rec1549034277.mp3][sound:129.mp3]					
lD7Qy-jYE`	Basic (and reversed card)-b9071	日文文法	まだ+否定 「還(沒有)...」	まだ,何も食べていません(什麼都還沒吃)[sound:rec1549034513.mp3][sound:130.mp3]					
wO}ath<zs{	Basic (and reversed card)-b9071	1.每日日文文法	[...という+名詞]「...的」「叫做...」	"あの店は何という名前ですか(那家店叫什麼名子)[sound:rec1549034834.mp3][sound:131.mp3]<br>&lt;文法&gt;L3<br>Ｖ常<br>い/い<br>な/だ<br>Ｎ/だ<br>(<span style=""background-color: rgb(255, 255, 127);"">內容</span>)+<span style=""background-color: rgb(255, 255, 127);"">という</span>+<span style=""background-color: rgb(255, 255, 127);"">N</span>"					N3文法
