front,back,sentence,tags,deck
坊ちゃん,"「ぼっちゃん」少爺,小朋友",,日文單字N5-N1,日文單字N5-N1
歩道,「ほどう」步道,,日文單字N5-N1,日文單字N5-N1
歩道橋,「ほどうきょう」天橋,,日文單字N5-N1,日文單字N5-N1
本社,"「ほんしゃ」總公司,本公司",,日文單字N5-N1,日文單字N5-N1
本店,"「ほんてん」總店,本店",,日文單字N5-N1,日文單字N5-N1
本人,「ほんにん」本人,,日文單字N5-N1,日文單字N5-N1
本部,「ほんぶ」本部,,日文單字N5-N1,日文單字N5-N1
本物,"「ほんもの」真貨,真東西,正式,道地⇄偽物&nbsp; 【にせもの】",,日文N3單字,日文N3單字
翻訳,「ほんやく」翻譯(筆),,日文單字N5-N1,日文單字N5-N1
間,"「ま」空隙,閒暇,房間,間隙",,日文單字N5-N1,日文單字N5-N1
迷子,「まいご」走失或迷路的小孩&nbsp;,,日文單字N5-N1,日文單字N5-N1
毎度,「まいど」名：每次、曾經、屢次毎度ありがとうございます。屢次關照，萬分感謝。,,日文N3單字,日文N3單字
街,「まち」大街,,日文單字N5-N1,日文單字N5-N1
待ち合わせ,「まちあわせ」等待,,日文單字N5-N1,日文單字N5-N1
間違い,"「まちがい」名：弄錯,錯誤,過失",,日文N3單字,日文N3單字
街角,「まちかど」名詞：街角,,日文N3文法,日文N3文法
....において、における,聴解試験はこの教室において行われます(聽力考試在這間教室進行)「在...(場所;領域;時間;狀況)」「在...時候」「在...方面」&lt;文書用&gt;文法：L06Ｎ＋において＝で、においては、においてもにおいての＋Ｎにおける＋Ｎ (連體修飾)＝での+Nにおいてさえ、就連到現在＝「で/に」口語Ｎ5Ｎ通常..(場所;領域;時間;狀況),,日文N2文法,日文N2文法
...に応じて、...に応じた/の＋Ｎ、に応じ、に応じまして「根據...」「按照...」「因應...」「與...相應」,"病気の種類におうじて、飲む薬が違うのは当然だ(根據不同的症狀,服用的藥物當然就不一樣)文法：&lt;正式&gt;L04Ｎ＋に応じて(句中)に応じた/の＋Ｎ(語感不同)に応じ中止形、に応じまして丁寧形因應Ａ程度種類Ｂ跟著一起變化調整表根據要求、變化、地區、情況、年齡、能力、經驗...等做～&lt;配合著前面的條件&gt;働きに応じて、報酬【ほうしゅう】をプラスしてあげよう依工作的情況來加薪",,日文N2文法,日文N2文法
"...にもかかわらず　　　「雖然...,但是...」「明明...,卻...」「雖然...,卻...」","彼は収入がないにもかかわらず、ぜいたくな生活をしている(他雖然沒有收入,生活卻很奢侈)＜文法＞L21Ｖ常 い常 な/である N/である　　　　　..にもかかわらず已發生的事實且預料之外[逆接句型]「それにもかかわらず」儘管如此[當接續詞]",,日文N2文法,日文N2文法
...にかかわらず　　「不管...」「儘管...也...」「無論...與否...」,"当日は晴雨せいうにかかわらず、出かけます(不管當天是晴是雨,還是要出門)文法：L05Ｖ原/Ｖないい/くないな語幹/でないN　＋にかかわらず　＋に(は)かかわりない*N對立關係或是複數面：学歴がくれき、国籍こくせき、成績せいせき、理由りゆう、合否ごうひ、成否せいひ*Ｖ、形容詞：同時存在（否定＋肯定）好き嫌い、いい悪い、善悪(ぜんあく)見る、見ないにかかわらず、ＮＨＫの受信料は払わなければならない不管看或不看都要支付NHK的收視費",,日文N2文法,日文N2文法
...に限って、に限り「只有...」「唯獨...是...的」「獨獨...」,"勉強していないときに限って、テストがある(偏偏在我沒看書的時候,就有考試)L03Ｎ＋に限って、 Ｎ＋に限るＮ＋に限り．＝だけ ．前句だけ特別に後句 ．經常使用在通知文裡2.忙しい時に限って、このパソコンは調子が悪くなる獨獨在忙的時候，這台電腦就老出問題",,日文N2文法,日文N2文法
...にかけては、にかけても　「在...方面」「論...」「在...這一點上」,"英語を訳[やく]すことにかけては、誰にも負けません(在英文翻譯這方面,我絕不輸任何人)文法：L109Vる＋ことN＋&nbsp; &nbsp; にかけては&nbsp; &nbsp; にかけても&nbsp; &nbsp; にかけての＋N．本句型在表示在某個領域中，技術或知識比別人更優秀。",,日文N2文法,日文N2文法
...に代わって,"首相にかわり、外相がアメリカを訪問した(外交部長代替首相訪問美國)「取代...(某地位)」「代替...」「代表...」文法：N+＋に代わる＋N＋に代わり(中止形,去ます)＋に代わりまして(丁寧形,ます去す＋して)",,日文N2文法,日文N2文法
...に関して（は）、に関しても、に関する　　「關於...」「關於...的...」,"この計画に関して、何か意見はありますか(有關這個計畫案,大家有什麼意見嗎)文法：L68N",,日文N2文法,日文N2文法
...にきまっている　　「肯定是...」「一定是...」,ホテルのテストランは高いに決まっている(飯店的餐廳一定很貴的)文法：V常い/いな/ーだ/０N/ーだ/０＋にきまっている說話者強烈判斷主張、我認為絕對是...類：に違いない 語感上不同，有根據事實證據、可互換,,日文N2文法,日文N2文法
